name,PFRID
Foster Moreau,/players/M/MoreFo00.htm
P.J. Walker,/players/W/WalkPh00.htm
Robert Woods,/players/W/WoodRo02.htm
Bailey Zappe,/players/Z/ZappBa00.htm
Austin Hooper,/players/H/HoopAu00.htm
Kalif Raymond,/players/R/RaymKa00.htm
Julio Jones,/players/J/JoneJu02.htm
K.J. Osborn,/players/O/OsboKJ00.htm
Demarcus Robinson,/players/R/RobiDe01.htm
Jelani Woods,/players/W/WoodJe01.htm
Damiere Byrd,/players/B/ByrdDa00.htm
Richie James,/players/J/JameRi00.htm
Dante Pettis,/players/P/PettDa00.htm
Michael Thomas,/players/T/ThomMi05.htm
Gus Edwards,/players/E/EdwaGu00.htm
Jarvis Landry,/players/L/LandJa00.htm
Elijah Moore,/players/M/MoorEl00.htm
Cade Otton,/players/O/OttoCa00.htm
Laviska Shenault Jr.,/players/S/ShenLa00.htm
Trent Sherfield,/players/S/SherTr00.htm
Jamal Agnew,/players/A/AgneJa00.htm
Cam Akers,/players/A/AkerCa00.htm
Daniel Bellinger,/players/B/BellDa00.htm
Michael Gallup,/players/G/GallMi00.htm
Jamycal Hasty,/players/H/HastJa02.htm
Jauan Jennings,/players/J/JennJa00.htm
Isaiah Likely,/players/L/LikeIs00.htm
Rashid Shaheed,/players/S/ShahRa00.htm
Ben Skowronek,/players/S/SkowBe00.htm
Tre'Quan Smith,/players/S/SmitTr03.htm
Jaylen Warren,/players/W/WarrJa01.htm
Justin Watson,/players/W/WatsJu01.htm
Braxton Berrios,/players/B/BerrBr00.htm
Rex Burkhead,/players/B/BurkRe00.htm
Deon Jackson,/players/J/JackDe02.htm
Equanimeous St. Brown,/players/S/St.BEq00.htm
Mo Alie-Cox,/players/A/AlieMo00.htm
Noah Gray,/players/G/GrayNo00.htm
Teddy Bridgewater,/players/B/BridTe00.htm
Greg Dulcich,/players/D/DulcGr00.htm
Russell Gage,/players/G/GageRu00.htm
Nyheim Hines,/players/H/HineNy00.htm
Mark Ingram,/players/I/IngrMa01.htm
J.D. McKissic,/players/M/McKiJ.00.htm
Wan'Dale Robinson,/players/R/RobiWa01.htm
Irv Smith Jr.,/players/S/SmitIr01.htm
J.K. Dobbins,/players/D/DobbJK00.htm
Kendall Hinton,/players/H/HintKe00.htm
KhaDarel Hodge,/players/H/HodgKh00.htm
Keenan Allen,/players/A/AlleKe00.htm
Robbie Anderson,/players/A/AndeRo04.htm
Dyami Brown,/players/B/BrowDy00.htm
Jake Ferguson,/players/F/FergJa00.htm
Chigoziem Okonkwo,/players/O/OkonCh00.htm
Javonte Williams,/players/W/WillJa10.htm
Matt Breida,/players/B/BreiMa00.htm
Kylen Granson,/players/G/GranKy00.htm
Chuba Hubbard,/players/H/HubbCh01.htm
Josh Oliver,/players/O/OlivJo00.htm
Logan Thomas,/players/T/ThomLo00.htm
Mike White,/players/W/WhitMi01.htm
Harrison Bryant,/players/B/BryaHa00.htm
Justice Hill,/players/H/HillJu00.htm
O.J. Howard,/players/H/HowaO.00.htm
Joshua Kelley,/players/K/KellJo01.htm
Darren Waller,/players/W/WallDa01.htm
DJ Chark,/players/C/CharDJ00.htm
Travis Homer,/players/H/HomeTr00.htm
Justin Jackson,/players/J/JackJu01.htm
Kyle Juszczyk,/players/J/JuszKy00.htm
Ray-Ray McCloud,/players/M/McClRa00.htm
Elijah Mitchell,/players/M/MitcEl00.htm
Colby Parkinson,/players/P/ParkCo02.htm
Ameer Abdullah,/players/A/AbduAm00.htm
Kendrick Bourne,/players/B/BourKe00.htm
Marquez Callaway,/players/C/CallMa01.htm
Phillip Dorsett,/players/D/DorsPh00.htm
Van Jefferson,/players/J/JeffVa00.htm
Craig Reynolds,/players/R/ReynCr00.htm
Tyquan Thornton,/players/T/ThorTy00.htm
Tutu Atwell,/players/A/AtweTu00.htm
Peyton Hendershot,/players/H/HendPe01.htm
Alec Ingold,/players/I/IngoAl01.htm
Colt McCoy,/players/M/McCoCo00.htm
Sterling Shepard,/players/S/ShepSt00.htm
Adam Trautman,/players/T/TrauAd00.htm
Sammy Watkins,/players/W/WatkSa00.htm
Jody Fortson,/players/F/FortJo01.htm
A.J. Green,/players/G/GreeA.00.htm
